t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.251,0,-7.580135822296143,-102.23651885986328,95.39347839355469,54.33900451660156,-5.7713470458984375,0.3852977752685547,-7.580135822296143,-102.23651885986328,95.39347839355469,70.78021978021978,-5.7713470458984375,0.3852977752685547,0.9784735812133072
0.283,0,-7.0235114097595215,-102.14041137695312,95.55732727050781,53.238006591796875,-6.907768249511719,0.38231849670410156,-7.0235114097595215,-102.14041137695312,95.55732727050781,70.78021978021978,-6.907768249511719,0.38231849670410156,0.9784735812133072
0.327,0,-6.771570205688477,-102.05604553222656,95.62054443359375,52.95378875732422,-8.163764953613281,0.3825969696044922,-6.771570205688477,-102.05604553222656,95.62054443359375,69.81318681318682,-8.163764953613281,0.3825969696044922,0.9784735812133072
0.357,0,-6.769114971160889,-102.0141830444336,95.64579772949219,52.700538635253906,-8.488174438476562,0.3744010925292969,-6.769114971160889,-102.0141830444336,95.64579772949219,68.31868131868131,-8.488174438476562,0.3744010925292969,0.9784735812133072
0.392,0,-6.896617412567139,-101.9322280883789,95.71102905273438,52.20372009277344,-9.311241149902344,0.3699760437011719,-6.896617412567139,-101.9322280883789,95.71102905273438,67.08791208791209,-9.311241149902344,0.3699760437011719,0.9784735812133072
0.424,0,-7.023437976837158,-101.85498809814453,95.71412658691406,51.95103454589844,-10.18572998046875,0.3813934326171875,-7.023437976837158,-101.85498809814453,95.71412658691406,66.03296703296704,-10.18572998046875,0.3813934326171875,0.9784735812133072
0.463,0,-7.011234760284424,-101.73365783691406,95.78189849853516,51.323646545410156,-12.210067749023438,0.3893451690673828,-7.011234760284424,-101.73365783691406,95.78189849853516,64.62637362637362,-12.210067749023438,0.3893451690673828,0.9784735812133072
0.494,0,-7.159633159637451,-101.69507598876953,95.85852813720703,50.82899475097656,-13.440055847167969,0.3760185241699219,-7.159633159637451,-101.69507598876953,95.85852813720703,63.57142857142857,-13.440055847167969,0.3760185241699219,0.9784735812133072
0.527,0,-7.409366607666016,-101.67355346679688,95.95377349853516,50.240501403808594,-14.943199157714844,0.3556041717529297,-7.409366607666016,-101.67355346679688,95.95377349853516,62.42857142857143,-14.943199157714844,0.3556041717529297,0.9784735812133072
0.561,0,-7.553021430969238,-101.63414764404297,95.95662689208984,50.1038818359375,-16.085311889648438,0.3600120544433594,-7.553021430969238,-101.63414764404297,95.95662689208984,61.197802197802204,-16.085311889648438,0.3600120544433594,0.9784735812133072
