t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.201,0,-7.905055999755859,-99.6646499633789,94.61894226074219,55.52172088623047,-27.165443420410156,0.33632659912109375,-7.905055999755859,-99.6646499633789,94.61894226074219,55.52172088623047,-27.165443420410156,0.33632659912109375,2.4135681669928246
0.225,0,-8.656352996826172,-99.60150146484375,94.69178771972656,55.244651794433594,-27.110881805419922,0.3192768096923828,-8.656352996826172,-99.60150146484375,94.69178771972656,55.244651794433594,-27.110881805419922,0.3192768096923828,2.4135681669928246
0.257,0,-8.953445434570312,-99.62887573242188,94.67298889160156,55.50538635253906,-28.082305908203125,0.31975555419921875,-8.953445434570312,-99.62887573242188,94.67298889160156,55.50538635253906,-28.082305908203125,0.31975555419921875,2.4135681669928246
0.291,0,-8.889252662658691,-99.75613403320312,94.73991394042969,55.15077209472656,-29.011924743652344,0.3640174865722656,-8.889252662658691,-99.75613403320312,94.73991394042969,55.15077209472656,-29.011924743652344,0.3640174865722656,1.9569471624266144
0.326,0,-9.384624481201172,-99.82527923583984,94.80879974365234,54.732398986816406,-30.069664001464844,0.33811378479003906,-9.384624481201172,-99.82527923583984,94.80879974365234,54.732398986816406,-30.069664001464844,0.33811378479003906,1.36986301369863
0.358,0,-9.905559539794922,-99.877685546875,94.9731674194336,53.94056701660156,-31.553333282470703,0.3378791809082031,-9.905559539794922,-99.877685546875,94.9731674194336,53.94056701660156,-31.553333282470703,0.3378791809082031,1.36986301369863
0.390,0,-10.14840316772461,-99.95584869384766,95.00917053222656,53.47789001464844,-32.43033218383789,0.3139457702636719,-10.14840316772461,-99.95584869384766,95.00917053222656,53.47789001464844,-32.43033218383789,0.3139457702636719,1.36986301369863
0.428,0,-10.339005470275879,-100.02179718017578,95.14742279052734,52.6817626953125,-33.61367416381836,0.2873573303222656,-10.339005470275879,-100.02179718017578,95.14742279052734,52.6817626953125,-33.61367416381836,0.2873573303222656,1.36986301369863
0.459,0,-10.621679306030273,-100.15283966064453,95.29767608642578,51.78052520751953,-34.9827995300293,0.27135467529296875,-10.621679306030273,-100.15283966064453,95.29767608642578,51.78052520751953,-34.9827995300293,0.27135467529296875,1.36986301369863
0.495,0,-10.886730194091797,-100.22323608398438,95.4736328125,50.86168670654297,-36.58700942993164,0.2543907165527344,-10.886730194091797,-100.22323608398438,95.4736328125,50.86168670654297,-36.58700942993164,0.2543907165527344,1.36986301369863
0.526,0,-11.104231834411621,-100.29983520507812,95.63224029541016,50.056488037109375,-38.26095199584961,0.22617149353027344,-11.104231834411621,-100.29983520507812,95.63224029541016,50.056488037109375,-38.26095199584961,0.22617149353027344,1.36986301369863
0.565,0,-11.304150581359863,-100.36563110351562,95.78681945800781,49.22826385498047,-39.82533264160156,0.19146347045898438,-11.304150581359863,-100.36563110351562,95.78681945800781,49.22826385498047,-39.82533264160156,0.19146347045898438,1.304631441617743
0.592,0,-11.49694538116455,-100.44786834716797,95.91621398925781,48.475067138671875,-41.38548278808594,0.16704750061035156,-11.49694538116455,-100.44786834716797,95.91621398925781,48.475067138671875,-41.38548278808594,0.16704750061035156,1.304631441617743
0.625,0,-11.628006935119629,-100.51553344726562,96.03976440429688,47.754058837890625,-42.8464241027832,0.14988136291503906,-11.628006935119629,-100.51553344726562,96.03976440429688,47.754058837890625,-42.8464241027832,0.14988136291503906,1.304631441617743
0.661,0,-11.687773704528809,-100.5763931274414,96.15465545654297,46.969444274902344,-44.6291618347168,0.13805007934570312,-11.687773704528809,-100.5763931274414,96.15465545654297,46.969444274902344,-44.6291618347168,0.13805007934570312,1.2393998695368558
0.694,0,-11.710999488830566,-100.65229034423828,96.2557373046875,46.10130310058594,-46.561832427978516,0.16231918334960938,-11.710999488830566,-100.65229034423828,96.2557373046875,46.10130310058594,-46.561832427978516,0.16231918334960938,1.2393998695368558
0.727,0,-11.689803123474121,-100.7088623046875,96.31330871582031,45.491676330566406,-48.27778625488281,0.23462295532226562,-11.689803123474121,-100.7088623046875,96.31330871582031,45.491676330566406,-48.27778625488281,0.23462295532226562,1.2393998695368558
