t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.201,0,-1.4792671203613281,-100.54289245605469,93.54381561279297,64.40848541259766,-11.140884399414062,0.6376266479492188,-1.4792671203613281,-100.54289245605469,93.54381561279297,64.40848541259766,-11.140884399414062,0.6376266479492188,1.5655577299412915
0.226,0,-3.903871536254883,-100.25032043457031,93.45060729980469,62.6864013671875,-12.41595458984375,0.6549720764160156,-3.903871536254883,-100.25032043457031,93.45060729980469,62.6864013671875,-12.41595458984375,0.6549720764160156,1.5655577299412915
0.258,0,-3.2326974868774414,-100.20085906982422,93.93637084960938,60.75018310546875,-13.679023742675781,0.6763515472412109,-3.2326974868774414,-100.20085906982422,93.93637084960938,60.75018310546875,-13.679023742675781,0.6763515472412109,1.5655577299412915
0.298,0,-2.7603073120117188,-100.34114837646484,93.9802474975586,60.95777130126953,-14.092208862304688,0.6770076751708984,-2.7603073120117188,-100.34114837646484,93.9802474975586,60.95777130126953,-14.092208862304688,0.6770076751708984,1.36986301369863
0.324,0,-3.543201446533203,-100.31695556640625,93.93504333496094,60.61766052246094,-14.855613708496094,0.6576023101806641,-3.543201446533203,-100.31695556640625,93.93504333496094,60.61766052246094,-14.855613708496094,0.6576023101806641,1.36986301369863
0.362,0,-3.9441566467285156,-100.30686950683594,94.053466796875,59.56306457519531,-15.855545043945312,0.6551284790039062,-3.9441566467285156,-100.30686950683594,94.053466796875,59.56306457519531,-15.855545043945312,0.6551284790039062,1.36986301369863
0.393,0,-3.5887842178344727,-100.25585174560547,94.28152465820312,58.36186981201172,-16.715805053710938,0.6579933166503906,-3.5887842178344727,-100.25585174560547,94.28152465820312,58.36186981201172,-16.715805053710938,0.6579933166503906,1.36986301369863
0.429,0,-3.274369716644287,-100.30915832519531,94.37025451660156,58.01402282714844,-17.550262451171875,0.6634292602539062,-3.274369716644287,-100.30915832519531,94.37025451660156,58.01402282714844,-17.550262451171875,0.6634292602539062,1.36986301369863
0.459,0,-3.6574740409851074,-100.29792022705078,94.50162506103516,57.19384002685547,-18.875572204589844,0.6625480651855469,-3.6574740409851074,-100.29792022705078,94.50162506103516,57.19384002685547,-18.875572204589844,0.6625480651855469,1.36986301369863
0.497,0,-3.995819091796875,-100.28986358642578,94.6514892578125,56.15095520019531,-20.470050811767578,0.6585979461669922,-3.995819091796875,-100.28986358642578,94.6514892578125,56.15095520019531,-20.470050811767578,0.6585979461669922,1.36986301369863
0.526,0,-3.8466405868530273,-100.2535171508789,94.8941650390625,54.93760681152344,-21.757648468017578,0.6662845611572266,-3.8466405868530273,-100.2535171508789,94.8941650390625,54.93760681152344,-21.757648468017578,0.6662845611572266,1.36986301369863
0.562,0,-3.5924477577209473,-100.28953552246094,95.02070617675781,54.3787841796875,-23.001811981201172,0.6720085144042969,-3.5924477577209473,-100.28953552246094,95.02070617675781,54.3787841796875,-23.001811981201172,0.6720085144042969,1.36986301369863
0.591,0,-3.745220184326172,-100.3198013305664,95.15797424316406,53.5968017578125,-24.417816162109375,0.6649684906005859,-3.745220184326172,-100.3198013305664,95.15797424316406,53.5968017578125,-24.417816162109375,0.6649684906005859,1.36986301369863
0.625,0,-3.98966121673584,-100.32608795166016,95.28059387207031,52.771156311035156,-25.79059600830078,0.6499824523925781,-3.98966121673584,-100.32608795166016,95.28059387207031,52.771156311035156,-25.79059600830078,0.6499824523925781,1.36986301369863
0.660,0,-3.8264760971069336,-100.33112335205078,95.49897766113281,51.68084716796875,-27.296981811523438,0.6441917419433594,-3.8264760971069336,-100.33112335205078,95.49897766113281,51.68084716796875,-27.296981811523438,0.6441917419433594,1.36986301369863
0.697,0,-3.584270477294922,-100.37846374511719,95.63275909423828,51.0736083984375,-28.745594024658203,0.6414852142333984,-3.584270477294922,-100.37846374511719,95.63275909423828,51.0736083984375,-28.745594024658203,0.6414852142333984,1.36986301369863
0.729,0,-3.686978340148926,-100.4219741821289,95.76929473876953,50.26348114013672,-30.31011199951172,0.6276149749755859,-3.686978340148926,-100.4219741821289,95.76929473876953,50.26348114013672,-30.31011199951172,0.6276149749755859,1.304631441617743
0.760,0,-3.784761428833008,-100.46754455566406,95.91816711425781,49.32946014404297,-32.08613967895508,0.6049098968505859,-3.784761428833008,-100.46754455566406,95.91816711425781,49.32946014404297,-32.08613967895508,0.6049098968505859,1.304631441617743
0.797,0,-3.558561325073242,-100.50728607177734,96.07613372802734,48.47930145263672,-33.69015884399414,0.5890064239501953,-3.558561325073242,-100.50728607177734,96.07613372802734,48.47930145263672,-33.69015884399414,0.5890064239501953,1.304631441617743
0.828,0,-3.324596405029297,-100.57008361816406,96.17017364501953,47.91967010498047,-35.233055114746094,0.5808372497558594,-3.324596405029297,-100.57008361816406,96.17017364501953,47.91967010498047,-35.233055114746094,0.5808372497558594,1.304631441617743
0.865,0,-3.298704147338867,-100.65415954589844,96.281494140625,47.17010498046875,-37.009300231933594,0.5553302764892578,-3.298704147338867,-100.65415954589844,96.281494140625,47.17010498046875,-37.009300231933594,0.5553302764892578,1.304631441617743
0.894,0,-3.3016743659973145,-100.75102996826172,96.39368438720703,46.343116760253906,-38.92726516723633,0.5161094665527344,-3.3016743659973145,-100.75102996826172,96.39368438720703,46.343116760253906,-38.92726516723633,0.5161094665527344,1.304631441617743
0.930,0,-2.9997525215148926,-100.84583282470703,96.50410461425781,45.599708557128906,-40.72364807128906,0.49149131774902344,-2.9997525215148926,-100.84583282470703,96.50410461425781,45.599708557128906,-40.72364807128906,0.49149131774902344,1.304631441617743
0.964,0,-2.6507773399353027,-100.93194580078125,96.5492935180664,45.0958251953125,-42.44267272949219,0.47084808349609375,-2.6507773399353027,-100.93194580078125,96.5492935180664,45.0958251953125,-42.44267272949219,0.47084808349609375,1.304631441617743
0.996,0,-2.4380664825439453,-101.0345230102539,96.60935974121094,44.42589569091797,-44.342315673828125,0.43487548828125,-2.4380664825439453,-101.0345230102539,96.60935974121094,44.42589569091797,-44.342315673828125,0.43487548828125,1.304631441617743
1.028,0,-2.234159469604492,-101.13036346435547,96.65902709960938,43.86175537109375,-46.19184494018555,0.39629173278808594,-2.234159469604492,-101.13036346435547,96.65902709960938,43.86175537109375,-46.19184494018555,0.39629173278808594,1.304631441617743
1.067,0,-1.8180480003356934,-101.22599029541016,96.70296478271484,43.2320556640625,-48.09963607788086,0.37299537658691406,-1.8180480003356934,-101.22599029541016,96.70296478271484,43.2320556640625,-48.09963607788086,0.37299537658691406,1.304631441617743
1.097,0,-1.409883975982666,-101.31779479980469,96.72918701171875,42.75579071044922,-49.97709655761719,0.37106895446777344,-1.409883975982666,-101.31779479980469,96.72918701171875,42.75579071044922,-49.97709655761719,0.37106895446777344,1.304631441617743
1.131,0,-1.0235881805419922,-101.40000915527344,96.75088500976562,42.17242431640625,-51.97358703613281,0.3653087615966797,-1.0235881805419922,-101.40000915527344,96.75088500976562,42.17242431640625,-51.97358703613281,0.3653087615966797,1.304631441617743
1.165,0,-0.7228922843933105,-101.47542572021484,96.7726821899414,41.68614196777344,-53.846580505371094,0.4317188262939453,-0.7228922843933105,-101.47542572021484,96.7726821899414,41.68614196777344,-53.846580505371094,0.4317188262939453,1.304631441617743
1.197,0,-0.17448186874389648,-101.57103729248047,96.80071258544922,41.047515869140625,-55.85792922973633,0.6326484680175781,-0.17448186874389648,-101.57103729248047,96.80071258544922,41.047515869140625,-55.85792922973633,0.6326484680175781,1.304631441617743
1.230,0,0.3770461082458496,-101.6482162475586,96.8075942993164,40.51398468017578,-57.84996795654297,0.8639907836914062,0.3770461082458496,-101.6482162475586,96.8075942993164,40.51398468017578,-57.84996795654297,0.8639907836914062,1.304631441617743
1.262,0,0.8494062423706055,-101.71533203125,96.81352233886719,39.936134338378906,-59.77439880371094,1.1325626373291016,0.8494062423706055,-101.71533203125,96.81352233886719,39.936134338378906,-59.77439880371094,1.1325626373291016,1.304631441617743
1.300,0,1.3081092834472656,-101.76948547363281,96.8265151977539,39.410484313964844,-61.692283630371094,1.4775333404541016,1.3081092834472656,-101.76948547363281,96.8265151977539,39.410484313964844,-61.692283630371094,1.4775333404541016,1.304631441617743
1.330,0,1.9624595642089844,-101.82755279541016,96.84378814697266,38.737144470214844,-63.593990325927734,1.8809490203857422,1.9624595642089844,-101.82755279541016,96.84378814697266,38.737144470214844,-63.593990325927734,1.8809490203857422,1.304631441617743
1.368,0,2.640489101409912,-101.86886596679688,96.8531265258789,38.13633728027344,-65.35279083251953,2.4229297637939453,2.640489101409912,-101.86886596679688,96.8531265258789,38.13633728027344,-65.35279083251953,2.4229297637939453,1.36986301369863
1.398,0,3.165282726287842,-101.89705657958984,96.85839080810547,37.62012481689453,-66.88058471679688,2.8298168182373047,3.165282726287842,-101.89705657958984,96.85839080810547,37.62012481689453,-66.88058471679688,2.8298168182373047,1.4350945857795172
1.435,0,3.72066330909729,-101.92535400390625,96.85758972167969,37.10900115966797,-68.41913604736328,3.2931289672851562,3.72066330909729,-101.92535400390625,96.85758972167969,37.10900115966797,-68.41913604736328,3.2931289672851562,1.6307893020221786
1.463,0,4.404813766479492,-101.94100952148438,96.87100219726562,36.49821472167969,-69.87104797363281,3.9391212463378906,4.404813766479492,-101.94100952148438,96.87100219726562,36.49821472167969,-69.87104797363281,3.9391212463378906,1.8917155903457272
1.501,0,5.077887058258057,-101.9698257446289,96.86357116699219,35.994781494140625,-71.15869903564453,4.476466178894043,5.077887058258057,-101.9698257446289,96.86357116699219,35.994781494140625,-71.15869903564453,4.476466178894043,2.217873450750163
1.531,0,5.535243034362793,-101.91877746582031,96.86216735839844,35.49595642089844,-72.24591064453125,5.102566719055176,5.535243034362793,-101.91877746582031,96.86216735839844,35.49595642089844,-72.24591064453125,5.102566719055176,2.73972602739726
1.565,0,6.057888031005859,-101.92108917236328,96.8536376953125,35.022430419921875,-73.30482482910156,5.5750885009765625,6.057888031005859,-101.92108917236328,96.8536376953125,35.022430419921875,-73.30482482910156,5.5750885009765625,3.2615786040443573
1.598,0,6.663443565368652,-101.77413940429688,96.84759521484375,34.338783264160156,-74.27147674560547,6.2608184814453125,6.663443565368652,-101.77413940429688,96.84759521484375,34.338783264160156,-74.27147674560547,6.2608184814453125,3.7834311806914545
1.636,0,7.311943531036377,-101.68267822265625,96.84847259521484,33.776451110839844,-75.12482452392578,7.0112504959106445,7.311943531036377,-101.68267822265625,96.84847259521484,33.776451110839844,-75.12482452392578,7.0112504959106445,4.3705153294194385
1.666,0,7.724653244018555,-101.50263977050781,96.84990692138672,33.2130126953125,-75.82076263427734,7.6673688888549805,7.724653244018555,-101.50263977050781,96.84990692138672,33.2130126953125,-75.82076263427734,7.6673688888549805,4.892367906066536
1.701,0,8.1996431350708,-101.28639221191406,96.83351135253906,32.55027770996094,-76.44949340820312,8.37304973602295,8.1996431350708,-101.28639221191406,96.83351135253906,32.55027770996094,-76.44949340820312,8.37304973602295,5.47945205479452
1.735,0,8.76469898223877,-100.96798706054688,96.8263168334961,31.782737731933594,-77.04206085205078,9.139015197753906,8.76469898223877,-100.96798706054688,96.8263168334961,31.782737731933594,-77.04206085205078,9.139015197753906,6.262230919765166
1.766,0,9.308773040771484,-100.58524322509766,96.83243560791016,31.003021240234375,-77.57821655273438,9.954553604125977,9.308773040771484,-100.58524322509766,96.83243560791016,31.003021240234375,-77.57821655273438,9.954553604125977,6.8493150684931505
1.804,0,9.673171997070312,-100.21703338623047,96.81690979003906,30.28656768798828,-78.05072784423828,10.749220848083496,9.673171997070312,-100.21703338623047,96.81690979003906,30.28656768798828,-78.05072784423828,10.749220848083496,7.566862361382909
1.832,0,10.069025039672852,-99.57762908935547,96.80586242675781,29.278640747070312,-78.48491668701172,11.567962646484375,10.069025039672852,-99.57762908935547,96.80586242675781,29.278640747070312,-78.48491668701172,11.567962646484375,8.349641226353555
1.869,0,10.513280868530273,-99.0262680053711,96.78179931640625,28.34387969970703,-78.91474914550781,12.458114624023438,10.513280868530273,-99.0262680053711,96.78179931640625,28.34387969970703,-78.91474914550781,12.458114624023438,9.067188519243313
