t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.198,0,-3.7697620391845703,-99.90901184082031,94.18169403076172,60.487518310546875,-19.0535888671875,0.4827232360839844,-3.7697620391845703,-99.90901184082031,94.18169403076172,60.487518310546875,-19.0535888671875,0.4827232360839844,1.82648401826484
0.222,0,-4.824871063232422,-99.76419067382812,94.27806091308594,59.09461212158203,-21.19268035888672,0.5266933441162109,-4.824871063232422,-99.76419067382812,94.27806091308594,59.09461212158203,-21.19268035888672,0.5266933441162109,1.82648401826484
0.254,0,-6.147555351257324,-99.88378143310547,94.37129974365234,58.41130065917969,-22.3736572265625,0.4692039489746094,-6.147555351257324,-99.88378143310547,94.37129974365234,58.41130065917969,-22.3736572265625,0.4692039489746094,1.82648401826484
0.289,0,-5.723061561584473,-99.84425354003906,94.41809844970703,57.999847412109375,-22.990779876708984,0.5149173736572266,-5.723061561584473,-99.84425354003906,94.41809844970703,57.999847412109375,-22.990779876708984,0.5149173736572266,1.5003261578604044
0.325,0,-6.600520133972168,-99.85078430175781,94.522216796875,57.39178466796875,-24.26128387451172,0.49181175231933594,-6.600520133972168,-99.85078430175781,94.522216796875,57.39178466796875,-24.26128387451172,0.49181175231933594,1.304631441617743
0.358,0,-6.971967697143555,-99.85455322265625,94.56432342529297,56.8974609375,-25.444549560546875,0.50701904296875,-6.971967697143555,-99.85455322265625,94.56432342529297,56.8974609375,-25.444549560546875,0.50701904296875,1.304631441617743
0.392,0,-7.324831008911133,-99.92865753173828,94.58677673339844,56.310523986816406,-26.387901306152344,0.45905113220214844,-7.324831008911133,-99.92865753173828,94.58677673339844,56.310523986816406,-26.387901306152344,0.45905113220214844,1.2393998695368558
0.425,0,-7.273677825927734,-99.97428894042969,94.64612579345703,55.82606506347656,-27.077594757080078,0.45390892028808594,-7.273677825927734,-99.97428894042969,94.64612579345703,55.82606506347656,-27.077594757080078,0.45390892028808594,1.2393998695368558
0.457,0,-7.774742126464844,-99.98716735839844,94.79074096679688,55.12397766113281,-28.480751037597656,0.4387340545654297,-7.774742126464844,-99.98716735839844,94.79074096679688,55.12397766113281,-28.480751037597656,0.4387340545654297,1.2393998695368558
0.493,0,-7.997304916381836,-100.00187683105469,94.94645690917969,54.40068817138672,-29.797691345214844,0.4456520080566406,-7.997304916381836,-100.00187683105469,94.94645690917969,54.40068817138672,-29.797691345214844,0.4456520080566406,1.2393998695368558
0.523,0,-8.366454124450684,-100.04258728027344,95.11954498291016,53.61615753173828,-31.213062286376953,0.4182281494140625,-8.366454124450684,-100.04258728027344,95.11954498291016,53.61615753173828,-31.213062286376953,0.4182281494140625,1.2393998695368558
0.561,0,-8.38241195678711,-100.05908966064453,95.2530517578125,52.90397644042969,-32.32225799560547,0.4170684814453125,-8.38241195678711,-100.05908966064453,95.2530517578125,52.90397644042969,-32.32225799560547,0.4170684814453125,1.2393998695368558
0.591,0,-8.708292007446289,-100.10023498535156,95.3709945678711,52.350303649902344,-33.51020812988281,0.39774513244628906,-8.708292007446289,-100.10023498535156,95.3709945678711,52.350303649902344,-33.51020812988281,0.39774513244628906,1.2393998695368558
0.623,0,-8.874765396118164,-100.1141357421875,95.49203491210938,51.72691345214844,-34.730560302734375,0.392486572265625,-8.874765396118164,-100.1141357421875,95.49203491210938,51.72691345214844,-34.730560302734375,0.392486572265625,1.2393998695368558
0.663,0,-9.182876586914062,-100.17444610595703,95.6422348022461,51.07847595214844,-36.47773742675781,0.3688526153564453,-9.182876586914062,-100.17444610595703,95.6422348022461,51.07847595214844,-36.47773742675781,0.3688526153564453,1.2393998695368558
0.689,0,-9.152457237243652,-100.19799041748047,95.75208282470703,50.51068878173828,-37.85444259643555,0.3602027893066406,-9.152457237243652,-100.19799041748047,95.75208282470703,50.51068878173828,-37.85444259643555,0.3602027893066406,1.2393998695368558
0.724,0,-9.3855562210083,-100.26078033447266,95.85230255126953,50.00439453125,-39.27232360839844,0.3320636749267578,-9.3855562210083,-100.26078033447266,95.85230255126953,50.00439453125,-39.27232360839844,0.3320636749267578,1.2393998695368558
