t_s,episode,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos,sent.shoulder_pan.pos,sent.shoulder_lift.pos,sent.elbow_flex.pos,sent.wrist_flex.pos,sent.wrist_roll.pos,sent.gripper.pos,gripper_actual
0.292,0,-4.782839775085449,-100.6358642578125,92.61541748046875,66.57878112792969,-3.3044357299804688,0.8044872283935547,-4.782839775085449,-100.6358642578125,92.61541748046875,66.57878112792969,-3.3044357299804688,0.8044872283935547,1.4350945857795172
0.325,0,-5.295064926147461,-100.72623443603516,92.63115692138672,66.08831024169922,-2.3261947631835938,0.8116340637207031,-5.295064926147461,-100.72623443603516,92.63115692138672,66.08831024169922,-2.3261947631835938,0.8116340637207031,1.4350945857795172
0.355,0,-5.3381547927856445,-100.67332458496094,92.60923767089844,66.26292419433594,-2.7796707153320312,0.7859630584716797,-5.3381547927856445,-100.67332458496094,92.60923767089844,66.26292419433594,-2.7796707153320312,0.7859630584716797,1.4350945857795172
0.388,0,-5.650613784790039,-100.76531219482422,92.75157928466797,65.64613342285156,-3.4560775756835938,0.7479381561279297,-5.650613784790039,-100.76531219482422,92.75157928466797,65.64613342285156,-3.4560775756835938,0.7479381561279297,1.36986301369863
0.454,0,-5.599367141723633,-100.79743957519531,92.81438446044922,65.47968292236328,-3.474334716796875,0.743621826171875,-5.599367141723633,-100.79743957519531,92.81438446044922,65.47968292236328,-3.474334716796875,0.743621826171875,1.304631441617743
0.486,0,-5.607144355773926,-100.78370666503906,92.78572082519531,65.5506820678711,-3.5342864990234375,0.7405567169189453,-5.607144355773926,-100.78370666503906,92.78572082519531,65.5506820678711,-3.5342864990234375,0.7405567169189453,1.304631441617743
0.518,0,-5.810721397399902,-100.81446075439453,92.93768310546875,64.87413787841797,-3.9188079833984375,0.7190933227539062,-5.810721397399902,-100.81446075439453,92.93768310546875,64.87413787841797,-3.9188079833984375,0.7190933227539062,1.304631441617743
0.567,0,-5.858237266540527,-100.82058715820312,92.95771789550781,64.79679870605469,-3.9414596557617188,0.7150325775146484,-5.858237266540527,-100.82058715820312,92.95771789550781,64.79679870605469,-3.9414596557617188,0.7150325775146484,1.304631441617743
0.597,0,-5.92277717590332,-100.82495880126953,92.98075866699219,64.5671615600586,-4.07720947265625,0.7137737274169922,-5.92277717590332,-100.82495880126953,92.98075866699219,64.5671615600586,-4.07720947265625,0.7137737274169922,1.304631441617743
0.630,0,-5.8718767166137695,-100.80106353759766,93.01671600341797,64.33136749267578,-4.492561340332031,0.7064228057861328,-5.8718767166137695,-100.80106353759766,93.01671600341797,64.33136749267578,-4.492561340332031,0.7064228057861328,1.304631441617743
